char_code	char	start	width	advance	glyph_ptr	half_res	glyph_data_hex
0x9E	₧	1	23	0	0x0F6DA	0	4008 0000 7FF8 0000 3EF8 4100 0008 4100 0008 6300 1C00 2200 1C00 0000 0400 0000 1FF0 0000 3FF8 0000 0408 0000 0410
0x9F	ƒ	4	15	5	0x0F708	0	0002 0004 0403 0000 0401 0002 3FFD 4002 BFFC 4000 8400 0000 C400 2000 4000
0xA0	á	2	20	2	0x0F726	0	0030 0440 0228 04D0 0808 0080 0808 0080 2808 4080 0808 C110 0C00 83F0 0400 03F8 0000 0008 0000 0008
0xA1	í	5	15	4	0x0F74E	0	0008 0800 0008 0800 0008 0800 27F8 4000 0FF8 C000 0008 8000 0008 0000 0008
0xA2	ó	2	19	3	0x0F76C	0	01C0 0220 05D0 0220 0410 0808 0000 0808 2000 4808 0000 C808 0000 8808 0410 0220 05D0 0220 01C0
0xA3	ú	2	20	2	0x0F792	0	0800 0000 0FE0 0010 0FE0 0018 0000 0008 2000 4008 0000 C008 0000 8810 0000 0FF8 0000 0FF8 0000 0008
0xA4	ñ	2	20	2	0x0F7BA	0	0808 0000 0FF8 4000 0FF8 8000 0408 8000 0800 8000 4800 0000 4800 0008 4C00 03F8 8400 03F8 0000 0008
0xA5	Ñ	2	20	2	0x0F7E2	0	1008 0000 1008 4FF0 1008 8C00 0208 8400 0300 8080 4100 00C0 4020 1040 4030 1000 8FF8 1000 0000 1000
0xA6	ª	2	20	2	0x0F80A	0	0308 4400 2288 4D00 8088 0800 8088 0800 8088 0800 8088 1100 C008 3F00 4008 3F80 0008 0080 0008 0080
0xA7	º	2	19	3	0x0F832	0	1C08 2200 5D08 2200 4108 8080 0008 8080 0008 8080 0008 8080 0008 8080 4108 2200 5D08 2200 1C08
0xA8	¿	5	14	5	0x0F858	0	000C 0012 000C 0033 0000 0821 1440 0981 1400 0801 0002 0008 0002 000C
0xA9	⌐	5	15	4	0x80F874	1	07C0 07C0 0400 0400 0400 0400 0400 0400
