start	end_exclusive	size	kind	classification
0x418F	0x425A	203	not_reached	likely_data_or_untraced_code
0x4267	0x42E8	129	not_reached	likely_data_or_untraced_code
0x4315	0x43DD	200	not_reached	likely_data_or_untraced_code
0x47B7	0x47CB	20	not_reached	likely_text_or_table
0x4C37	0x4E28	497	not_reached	likely_data_or_untraced_code
0x4F36	0x4F37	1	not_reached	likely_data_or_untraced_code
0x4F97	0x4FB1	26	not_reached	likely_data_or_untraced_code
0x5059	0x506D	20	not_reached	likely_data_or_untraced_code
0x50BC	0x50EB	47	not_reached	likely_data_or_untraced_code
0x50FE	0x5124	38	not_reached	likely_data_or_untraced_code
0x51E4	0x51E9	5	not_reached	likely_data_or_untraced_code
0x534F	0x5359	10	not_reached	likely_data_or_untraced_code
0x5367	0x53AF	72	not_reached	likely_data_or_untraced_code
0x53DF	0x53E1	2	not_reached	likely_text_or_table
0x53FD	0x53FE	1	not_reached	likely_data_or_untraced_code
0x5794	0x6000	2156	not_reached	fill_ff
0x6000	0x6944	2372	not_reached	likely_text_or_table
0x6960	0x6A5A	250	not_reached	likely_data_or_untraced_code
0x6A5A	0x7000	1446	not_reached	fill_ff
0x7000	0x739B	923	not_reached	likely_data_or_untraced_code
0x744C	0x744D	1	not_reached	likely_data_or_untraced_code
0x74C9	0x74CB	2	not_reached	likely_data_or_untraced_code
0x756C	0x756F	3	not_reached	likely_data_or_untraced_code
0x761E	0x7693	117	not_reached	likely_data_or_untraced_code
0x78B5	0x78B6	1	not_reached	likely_data_or_untraced_code
0x79ED	0x79F6	9	not_reached	likely_data_or_untraced_code
0x7A18	0x7A53	59	not_reached	likely_text_or_table
0x7B74	0x8000	1164	not_reached	fill_ff
