address	status
0x0000	decoded
0x0004	decoded
0x0008	decoded
0x0010	decoded
0x0018	decoded
0x0028	decoded
0x0060	decoded
0x2530	decoded
0x2568	decoded
0x51E9	decoded
0x51ED	decoded
0x51F2	decoded
0x5488	decoded
