mode_index	cell_width_byte	rtl_base_word	ltr_correction_word	rtl_stride_word	ltr_clip_word	ltr_clip_base_word	col_stride_word
0	0x0A	0x0000	0x0000	0x0002	0x0003	0x0000	0x0004
1	0x0A	0x0000	0xFFFD	0x0002	0x0003	0x0000	0x0004
2	0x0A	0xFFFA	0xFFFD	0x0001	0x0002	0x0001	0x0003
3	0x04	0xFFF4	0xFFFA	0x0001	0x0002	0x0001	0x0003
4	0x04	0x0000	0xFFFA	0x0002	0x0003	0x0000	0x0004
5	0x11	0xFFFA	0xFFF7	0x0001	0x0002	0xFFFF	0x0003
6	0x0D	0xFFFA	0xFFF7	0x0001	0x0002	0x0001	0x0003
7	0x0D	0xFFF7	0xFFF4	0x0001	0x0002	0x0001	0x0003
